category,name,img,desc,appendix
streetmarking,MCI,/img/nyc/mark/mci.png,The telecommunications company currently owned by Verizon.,
streetmarking,L3,/img/nyc/mark/l3.png,"Level 3 Communications, an internet service provider.",
streetmarking,XO,/img/nyc/mark/xo.png,"XO Communications was founded in 1994 and, like many network providers that built fiber-optic networks during the first tech bubble, experienced financial meltdown in the early 2000s. It emerged from bankruptcy in 2003 with well-known activist shareholder Carl Ichan as its majority shareholder and board chairman. Ichan orchestrated a massive 2008 refinancing of XO's debt (90% of which Ichan owns) and took the company private in 2011. XO's minority shareholders have accused Ichan of using XO's financial losses as tax benefits for other companies Ichan owns. A lawsuit brought in 2009 by these shareholders is ongoing. ",
streetmarking,FO,/img/nyc/mark/fo.png,"FO indicates a fiber optic cable. A novice street marking reader might assume it refers to Verizon FiOs, but ""fiber optic"" doesn't necessarily mean what we think of as ""internet""--private companies maintain their own networks, as do city agencies and institutions. And lots of things can run over fiber-VoIP, television, and the internet can all run over fiber cables. In general, where you see telephone cables, you'll also see other kinds of cables, including fiber. ",
streetmarking,ATT,/img/nyc/mark/att.png,"AT&T has been a presence in New York City since the first cable ducts were organized under Consolidated Telegraph & Electrical Subway Co. Formed as a corporation under the Bell Telephone Company to build a nationwide long-distance network, AT&T's first network connected Chicago and New York in 1892. While this field guide might not be the place for AT&T and the Bell System's voluminous history, traces of that history are all over New York City in buildings like the Long Lines building at 33 Thomas Street, a switching center at 811 Tenth Avenue, and its former Long Lines building at 32 Avenue of the Americas, now a major convergence and colocation center for networks.",
antennas,Distributed Antenna Systems,/img/nyc/boxes/das.png,"A Distributed Antenna System (DAS) is basically a way to expand a cell network's reach, adding capacity in under-covered areas. They're a little easier to find on the street because they're not on top of buildings--they're attached to street poles and linked to underground fiber-optic networks. If you ever see an orange cable marking going into a street pole, look up. You'll probably see a DAS. There are 7 companies with franchise agreements to maintain Distributed Antenna Systems in New York; however, 3 of those companies appear to belong to one company (Crown Castle) and 2 appear to be subsidiaries of the same company (ExteNet Systems). ",
antennas,Subway Wifi Devices,/img/nyc/boxes/subwaywifi.jpg,"In 2007, the Metropolitan Transit Authority (MTA) began working with contractor Transit Wireless on building out a fiber-optic network to support wifi access on subway platforms. The system works similarly to a DAS--signals from wireless carrier base stations are converted by Transit Wireless into optical signals, which are sent to RF nodes in individual stations. The RF node then distributes that signal to antennae in the station. The pilot program began trials in 2011. As of summer 2014, 47 of the city's 278 stations had wifi access. 
",
antennas,Cell Towers,/img/nyc/boxes/celltowers.png,"Increasingly when out and about in the world, people connect to the internet through wireless networks. Seeing the internet on the street, for many, just means using a smartphone. Those phones connect to networks via cell towers. Generally, these are pretty hard to see from the street--they're mostly on tops of buildings. They're also often disguised, although their New York disguises (bricks on buildings) are pretty simple compared to cell tower disguises in other places (trees, church crosses, cacti). ",
cameras,Speed Cameras,/img/nyc/cameras/speedcamera.jpg,"As of September 2014 there are 140 speed cameras in school zones in New York City, following state legislation. These are designated for areas within a quarter mile of any city school. The cameras are under the purview of the city Department of Finance, as they issue the actual speeding tickets. ",
cameras,Traffic Cameras,/img/nyc/cameras/trafficcamera.jpg,"The city Department of Transportation (DOT) and the Metropolitan Transit Authority (MTA) operate traffic cameras at, respectively, 723 intersections and 20 bridge and tunnel entrances. The DOT cameras have video streams that can be viewed at www.nyctmc.org. ",
cameras,MTA Cameras,/img/nyc/cameras/mtacamera.jpg,"It's unclear exactly when the MTA began installing closed-circuit television cameras on some subway platforms, but their efforts to expand that camera network ramped up dramatically after September 11, 2001. The MTA has 4,313 cameras operating throughout the transit system, with 1,576 cameras on city buses. Data collected by cameras feeds back to MTA Rail Control Centers, located in various parts of the city. ",
cameras,NYPD Cameras,/img/nyc/cameras/nypdcamera.jpg,"The New York City Police Department has a few thousand labeled surveillance cameras in their Argus program. I don't have an exact number. They wouldn't tell me when I filed a Freedom of Information request because having a list of all the camera locations would encourage crime. As this is not a field guide to the labyrinth of insanity that is NYPD's FOIL policies, perhaps we should not discuss the matter further. ",
cameras,CrimeEye Cameras,/img/nyc/cameras/crimeeyecamera.jpg,"I've only seen these cameras in lower Manhattan, and pretty much only around federal buildings. They appear to belong to the Department of Homeland Security, and are manufactured by a company named Total Recall Corporation. (Not even joking.) ",
cameras,Private Cameras,/img/nyc/cameras/privatecamera.jpg,"Most private cameras connect to a larger network for a single building's security system. Some (at least 2,000) feed into the NYPD's Domain Awareness System.",
